forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2024-01-17,DAX,1 day,-1.5586348408142157,-0.4233022039741282,0.018505000463431287,0.5052342926714845,1.5478967490949151
2024-01-17,DAX,2 day,-2.14572816954437,-0.6535722720329689,0.010310449169548264,0.7201111644909701,2.2150272371533086
2024-01-17,DAX,5 day,-2.842990189998048,-0.8412867721051834,0.07023545135957932,0.9866378300206272,2.776736167310257
2024-01-17,DAX,6 day,-2.995224799683238,-0.8694015576770681,0.10090653407908157,1.0477615858333005,3.04028464987307
2024-01-17,DAX,7 day,-3.2879975793956975,-0.9266349266893512,0.10312048851615074,1.2328344527067767,3.306357111019112
2024-01-17,energy,36 hour,58.32486730671545,64.90247044230536,68.51775942070839,70.95915535644329,75.87433431326563
2024-01-17,energy,40 hour,56.28270399843626,62.12483518887278,65.43151410426182,68.004441077304,72.9453649767085
2024-01-17,energy,44 hour,52.98928612439352,58.142251230327126,60.94824382434202,63.430792335256534,68.43289459694562
2024-01-17,energy,60 hour,50.255320708443065,56.83233436104987,59.979785752796246,62.22166217617054,66.72953101952807
2024-01-17,energy,64 hour,49.06756405714785,54.90910576460125,57.74794709333365,60.12135455401521,64.6549683399549
2024-01-17,energy,68 hour,46.39790403633462,51.550279659285124,53.88843466664336,56.171463665197265,60.76625581342154
2024-01-17,infections,0 week,NA,NA,NA,NA,NA
2024-01-17,infections,1 week,NA,NA,NA,NA,NA
2024-01-17,infections,2 week,NA,NA,NA,NA,NA
2024-01-17,infections,3 week,NA,NA,NA,NA,NA
2024-01-17,infections,4 week,NA,NA,NA,NA,NA
